"filename", "language", "Groovy", "Batch", "JSON", "C++", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\IndexCommands\Stop.hpp", "C++", 0, 0, 0, 17, 0, 0, 19, 7, 43
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\IntakeCommands\Intake.hpp", "C++", 0, 0, 0, 17, 0, 0, 27, 9, 53
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\commands\IntakeCommands\OpIntake.hpp", "C++", 0, 0, 0, 17, 0, 0, 39, 10, 66
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\subsystems\ClawSubsystem.hpp", "C++", 0, 0, 0, 21, 0, 0, 51, 15, 87
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\subsystems\DriveSubsystem.hpp", "C++", 0, 0, 0, 33, 0, 0, 77, 22, 132
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\subsystems\IndexSubsystem.hpp", "C++", 0, 0, 0, 32, 0, 0, 83, 27, 142
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\subsystems\IntakeSubsystem.hpp", "C++", 0, 0, 0, 28, 0, 0, 60, 17, 105
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\subsystems\WinchSubsystem.hpp", "C++", 0, 0, 0, 24, 0, 0, 59, 16, 99
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\tools\Motors.hpp", "C++", 0, 0, 0, 20, 0, 0, 70, 18, 108
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\main\include\tools\Tools.hh", "C++", 0, 0, 0, 10, 0, 0, 29, 5, 44
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\src\test\cpp\main.cpp", "C++", 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\vendordeps\Phoenix.json", "JSON", 0, 0, 257, 0, 0, 0, 0, 0, 257
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\vendordeps\REVLib.json", "JSON", 0, 0, 73, 0, 0, 0, 0, 0, 73
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\vendordeps\WPILibNewCommands.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\Jacob\Documents\GitHub\Ten-Ton-FRC-2022\6364 Worlds\vendordeps\navx_frc.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 35
"Total", "-", 82, 68, 408, 1442, 22, 5, 1279, 642, 3948
